Observed Ritz Transition Rel. Aki fik Acc. "Ei           Ek" "Lower level" "Upper level" Type TP Line
4974.9433 4974.9411 20100.732 1000 "" "" "" "18.69335943  -   21.18553364" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).6d  | 2[5/2]* | 2" "" "" L4498
4976.148 4976.1614 20095.87 500 "" "" "" "18.69335943  -   21.18492247" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).6d  | 2[3/2]* | 1" "" "" L3469
4977.349 4977.3834 20091.01 100 "" "" "" "18.69335943  -   21.18431077" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).6d  | 2[3/2]* | 2" "" "" L3469
4981.014 4981.0317 20076.23 50 "" "" "" "18.69335943  -   21.1824863" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).6d  | 2[1/2]* | 0" "" "" L3469
4996.3234 4996.3215 20014.717 1500 "" "" "" "18.70407118  -   21.18558079" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).6d  | 2[5/2]* | 3" "" "" L7292
4997.603 4997.6473 20009.59 20 "" "" "" "18.70407118  -   21.18492247" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).6d  | 2[3/2]* | 1" "" "" L3469
4998.876 4998.8799 20004.5 150 "" "" "" "18.70407118  -   21.18431077" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).6d  | 2[3/2]* | 2" "" "" L3469
4999.896 4999.9088 20000.41 100 "" "" "" "18.70407118  -   21.18380040" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).6d  | 2[7/2]* | 3" "" "" L3469
5001.79 5001.8 19992.84 30 "" "" "" "18.70407118  -   21.18286278" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).6d  | 2[1/2]* | 1" "" "" L3469
5004.957 5004.9678 19980.19 20 "" "" "" "18.63679156  -   21.11401428" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).5d  | 2[3/2]* | 1" "" "" L3469
5006.5548 5006.5543 19973.8149 5000 437000.0 0.0023 C+ "18.63679156  -   21.11322925" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).5d  | 2[5/2]* | 3" "" T6976 L3451
5006.7429 5006.739 19973.065 500 153000.0 0.00057 C "18.63679156  -   21.11313791" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).5d  | 2[3/2]* | 2" "" T6976 L4498
5012.4007 5012.4076 19950.52 250 "" "" "" "18.71137667  -   21.18492247" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<3/2>).6d  | 2[3/2]* | 1" "" "" L7292
5016.586 5016.5849 19933.88 50 "" "" "" "18.71137667  -   21.18286278" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<3/2>).6d  | 2[1/2]* | 1" "" "" L3469
5024.2709 5024.2648 19903.386 250 "" "" "" "18.57583601  -   21.04354431" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<1/2>).6s  | 2[1/2]* | 1" "" "" L7292
5032.7515 5032.7512 19869.847 2500 1340000.0 0.0051 C+ "18.55510805  -   21.01865519" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).5d  | 2[5/2]* | 3" "" T6976 L7292
5032.9119 5032.9073 19869.213 20 98000.0 0.000266 C "18.55510805  -   21.01857880" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).5d  | 2[5/2]* | 2" "" T6976 L4498
5037.4059 5037.3968 19851.487 350 208000.0 0.00057 C "18.55510805  -   21.01638327" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).5d  | 2[3/2]* | 2" "" T6976 L4498
5038.9975 5038.9892 19845.217 30 226000.0 0.00086 C "18.55510805  -   21.01560547" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).5d  | 2[7/2]* | 3" "" T6976 L4498
5039.156 5039.1552 19844.593 5000 4440000.0 0.0217 C+ "18.55510805  -   21.01552439" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).5d  | 2[7/2]* | 4" "" T6976 L3451
5043.004 5042.999 19829.45 10 "" "" "" "18.72638145  -   21.18492247" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).6d  | 2[3/2]* | 1" "" "" L3469
5044.259 5044.254 19824.52 150 "" "" "" "18.72638145  -   21.18431077" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).6d  | 2[3/2]* | 2" "" "" L3469
5047.223 5047.2274 19812.88 150 "" "" "" "18.72638145  -   21.18286278" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).6d  | 2[1/2]* | 1" "" "" L3469
5048.015 5048.001 19809.77 30 "" "" "" "18.72638145  -   21.1824863" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).6d  | 2[1/2]* | 0" "" "" L3469
5054.3532 5054.3503 19784.925 250 "" "" "" "18.69335943  -   21.14637893" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).7s  | 2[3/2]* | 1" "" "" L4498
5060.561 5060.5738 19760.66 20 "" "" "" "18.69335943  -   21.14336221" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).7s  | 2[3/2]* | 2" "" "" L3469
5075.4604 5075.4554 19702.646 30 60000.0 0.000324 C "18.57583601  -   21.01865519" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).5d  | 2[5/2]* | 3" "" T6976 L4498
5075.6152 5075.6141 19702.0452 350 1420000.0 0.0055 C+ "18.57583601  -   21.01857880" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).5d  | 2[5/2]* | 2" "" T6976 L3451
5078.0122 5078.0049 19692.745 350 286000.0 0.00066 C "18.57583601  -   21.01742872" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).5d  | 2[3/2]* | 1" "" T6976 L4498
5080.185 5080.1802 19684.322 150 86000.0 0.000332 C "18.57583601  -   21.01638327" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).5d  | 2[3/2]* | 2" "" T6976 L4498
5081.7992 5081.7997 19678.07 1500 3390000.0 0.0184 C+ "18.57583601  -   21.01560547" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).5d  | 2[7/2]* | 3" "" T6976 L7292
5082.776 5082.7965 19674.29 150 "" "" "" "18.70407118  -   21.14336221" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).7s  | 2[3/2]* | 2" "" "" L3469
5085.3944 5085.3842 19664.158 250 125000.0 0.00029 C "18.57583601  -   21.01388581" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).5d  | 2[1/2]* | 1" "" T6976 L4498
5091.74 5091.7488 19639.65 80 "" "" "" "18.71137667  -   21.14637893" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<3/2>).7s  | 2[3/2]* | 1" "" "" L3469
5100.4733 5100.4693 19606.024 250 "" "" "" "18.61270528  -   21.04354431" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).6s  | 2[1/2]* | 1" "" "" L4498
5106.1237 5106.1217 19584.3277 350 "" "" "" "18.61270528  -   21.04085339" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).6s  | 2[1/2]* | 0" "" "" L3451
5115.0974 5115.096 19549.9698 750 867000.0 0.0034 C+ "18.38162323  -   20.80551122" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).4d  | 2[3/2]* | 1" "" T6976 L3451
5117.929 5117.9279 19539.1536 1500 2590000.0 0.0169 C+ "18.38162323  -   20.80417004" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).4d  | 2[3/2]* | 2" "" T6976 L3451
5118.4505 5118.4457 19537.163 350 96000.0 0.00063 C "18.38162323  -   20.80392497" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).4d  | 2[5/2]* | 2" "" T6976 L4498
5121.9327 5121.928 19523.88 250 347000.0 0.00137 C "18.69335943  -   21.11401428" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).5d  | 2[3/2]* | 1" "" T6976 L4498
5123.293 5123.3193 19518.7 20 "" "" "" "18.72638145  -   21.14637893" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).7s  | 2[3/2]* | 1" "" "" L3469
5123.6838 5123.6825 19517.2075 1500 1960000.0 0.0128 C+ "18.69335943  -   21.11318538" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).5d  | 2[5/2]* | 2" "" T6976 L3451
5123.7886 5123.783 19516.808 1500 630000.0 0.00413 C+ "18.69335943  -   21.11313791" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).5d  | 2[3/2]* | 2" "" T6976 L4498
5129.709 5129.7139 19494.28 20 "" "" "" "18.72638145  -   21.14336221" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).7s  | 2[3/2]* | 2" "" "" L3469
5144.698 5144.694 19437.49 50 "" "" "" "18.70407118  -   21.11401428" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).5d  | 2[3/2]* | 1" "" "" L3469
5146.3717 5146.3704 19431.1653 5000 3290000.0 0.0183 C+ "18.70407118  -   21.11322925" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).5d  | 2[5/2]* | 3" "" T6976 L3451
5146.444 5146.4641 19430.89 5000 "" "" "" "18.70407118  -   21.11318538" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).5d  | 2[5/2]* | 2" "" "" L3469
5146.5685 5146.5655 19430.422 350 781000.0 0.0031 C+ "18.70407118  -   21.11313791" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).5d  | 2[3/2]* | 2" "" T6976 L4498
5151.5189 5151.5137 19411.751 350 "" "" "" "18.63679156  -   21.04354431" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).6s  | 2[1/2]* | 1" "" "" L4498
5153.3962 5153.3964 19404.6792 750 1710000.0 0.0113 C+ "18.61270528  -   21.01857880" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).5d  | 2[5/2]* | 2" "" T6976 L3451
5155.863 5155.861 19395.3953 500 1290000.0 0.00513 C+ "18.61270528  -   21.01742872" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).5d  | 2[3/2]* | 1" "" T6976 L3451
5158.1037 5158.1035 19386.9698 500 151000.0 0.001 C "18.61270528  -   21.01638327" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).5d  | 2[3/2]* | 2" "" T6976 L3451
5160.3388 5160.337 19378.5724 500 1120000.0 0.0134 C+ "18.71137667  -   21.11401428" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<1/2>).5d  | 2[3/2]* | 1" "" T6976 L3451
5164.923 5164.9174 19361.373 100 408000.0 0.00054 C "18.61270528  -   21.01321219" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).5d  | 2[1/2]* | 0" "" T6976 L4498
5183.763 5183.7622 19291.0 20 "" "" "" "18.96595369  -   21.3577339" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<1/2>).8s  | 2[1/2]* | 1" "" "" L3469
5190.0572 5190.0571 19267.6105 1500 "" "" "" "18.55510805  -   20.94398733" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).6s  | 2[3/2]* | 2" "" "" L3451
5192.768 5192.7665 19257.5521 350 866000.0 0.0035 C+ "18.72638145  -   21.11401428" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).5d  | 2[3/2]* | 1" "" T6976 L3451
5194.5713 5194.5699 19250.867 1500 915000.0 0.00617 C+ "18.72638145  -   21.11318538" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).5d  | 2[5/2]* | 2" "" T6976 L4498
5194.6702 5194.6732 19250.5 1500 1580000.0 0.0107 C+ "18.72638145  -   21.11313791" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).5d  | 2[3/2]* | 2" "" T6976 L7292
5205.3452 5205.3441 19211.0217 1500 2310000.0 0.0132 C+ "18.63679156  -   21.01865519" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).5d  | 2[5/2]* | 3" "" T6976 L3451
5208.015 5208.0258 19201.17 30 "" "" "" "18.63679156  -   21.01742872" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).5d  | 2[3/2]* | 1" "" "" L3469
5210.3152 5210.3139 19192.697 700 1430000.0 0.00584 C+ "18.63679156  -   21.01638327" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).5d  | 2[3/2]* | 2" "" T6976 L3451
5212.018 5212.0176 19186.4264 500 438000.0 0.0025 C+ "18.63679156  -   21.01560547" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).5d  | 2[7/2]* | 3" "" T6976 L3451
5215.7907 5215.7881 19172.5484 350 439000.0 0.00107 C "18.63679156  -   21.01388581" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).5d  | 2[1/2]* | 1" "" T6976 L3451
5223.8056 5223.8058 19143.1318 500 "" "" "" "18.57583601  -   20.94928177" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).6s  | 2[3/2]* | 1" "" "" L3451
5235.4842 5235.4846 19100.4303 500 "" "" "" "18.57583601  -   20.94398733" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).6s  | 2[3/2]* | 2" "" "" L3451
5275.507 5275.5083 18955.524 400 "" "" "" "18.69335943  -   21.04354431" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).6s  | 2[1/2]* | 1" "" "" L3451
5281.5546 5281.5556 18933.8191 500 "" "" "" "18.69335943  -   21.04085339" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).6s  | 2[1/2]* | 0" "" "" L3451
5299.6633 5299.6633 18869.1234 1500 "" "" "" "18.70407118  -   21.04354431" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).6s  | 2[1/2]* | 1" "" "" L3451
5306.2339 5306.2332 18845.758 700 "" "" "" "18.61270528  -   20.94928177" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).6s  | 2[3/2]* | 1" "" "" L3451
5316.2637 5316.2644 18810.203 300 "" "" "" "18.71137667  -   21.04354431" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<1/2>).6s  | 2[1/2]* | 1" "" "" L4498
5318.2837 5318.2839 18803.059 250 "" "" "" "18.61270528  -   20.94398733" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).6s  | 2[3/2]* | 2" "" "" L4498
5322.03 5322.0312 18789.82 20 "" "" "" "18.38162323  -   20.71126380" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).4d  | 2[5/2]* | 2" "" "" L3469
5327.8777 5327.8769 18769.2 750 549000.0 0.00234 C+ "18.38162323  -   20.70870776" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).4d  | 2[3/2]* | 1" "" T6976 L7292
5332.1548 5332.1506 18754.144 5 694000.0 0.00493 C+ "18.69335943  -   21.01857880" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).5d  | 2[5/2]* | 2" "" T6976 L4498
5332.2603 5332.2599 18753.773 6000 5300000.0 0.0377 C+ "18.38162323  -   20.70679493" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).4d  | 2[3/2]* | 2" "" T6976 L3451
5334.7918 5334.7892 18744.874 500 470000.0 0.002 C+ "18.69335943  -   21.01742872" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).5d  | 2[3/2]* | 1" "" T6976 L4498
5337.194 5337.1901 18736.44 100 52000.0 0.000373 C "18.69335943  -   21.01638327" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).5d  | 2[3/2]* | 2" "" T6976 L3469
5342.5794 5342.5788 18717.5506 10000 7740000.0 0.0331 C+ "18.38162323  -   20.70230399" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).4d  | 2[1/2]* | 1" "" T6976 L3451
5344.186 5344.112 18711.92 10 "" "" "" "18.96595369  -   21.2859685" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<3/2>).7d  | 2[3/2]* | 1" "" "" L3469
5344.4909 5344.4857 18710.856 100 "" "" "" "18.69335943  -   21.01321219" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).5d  | 2[1/2]* | 0" "" "" L4498
5344.7696 5344.7682 18709.8805 6000 9760000.0 0.0139 C+ "18.38162323  -   20.70135337" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).4d  | 2[1/2]* | 0" "" T6976 L3451
5350.6916 5350.6899 18689.173 1500 "" "" "" "18.72638145  -   21.04354431" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).6s  | 2[1/2]* | 1" "" "" L3451
5355.002 5354.9963 18674.13 50 "" "" "" "18.96595369  -   21.2812531" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<1/2>).6d  | 2[3/2]* | 1" "" "" L3469
5356.6534 5356.6515 18668.372 1500 335000.0 0.00202 C+ "18.70407118  -   21.01865519" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).5d  | 2[5/2]* | 3" "" T6976 L4498
5356.8288 5356.8283 18667.761 50 118000.0 0.00051 C "18.70407118  -   21.01857880" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).5d  | 2[5/2]* | 2" "" T6976 L4498
5356.913 5356.9109 18667.468 1500 "" "" "" "18.72638145  -   21.04085339" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).6s  | 2[1/2]* | 0" "" "" L4498
5359.51 5359.4914 18658.42 100 "" "" "" "18.70407118  -   21.01742872" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).5d  | 2[3/2]* | 1" "" "" L3469
5361.5027 5361.5015 18651.4872 1500 "" "" "" "18.63679156  -   20.94928177" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).6s  | 2[3/2]* | 1" "" "" L3451
5361.9179 5361.9145 18650.043 350 189000.0 0.00082 C "18.70407118  -   21.01638327" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).5d  | 2[3/2]* | 2" "" T6976 L4498
5363.7246 5363.7188 18643.761 250 69000.0 0.000414 C "18.70407118  -   21.01560547" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).5d  | 2[7/2]* | 3" "" T6976 L4498
5367.7092 5367.7121 18629.921 250 87000.0 0.000226 C "18.70407118  -   21.01388581" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).5d  | 2[1/2]* | 1" "" T6976 L4498
5373.8049 5373.8049 18608.7886 750 "" "" "" "18.63679156  -   20.94398733" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).6s  | 2[3/2]* | 2" "" "" L3451
5376.4696 5376.4701 18599.566 500 644000.0 0.00837 C+ "18.71137667  -   21.01742872" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<3/2>).5d  | 2[3/2]* | 1" "" T6976 L7292
5384.7425 5384.743 18570.99 250 180000.0 0.00235 C "18.71137667  -   21.01388581" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<3/2>).5d  | 2[1/2]* | 1" "" T6976 L4498
5402.0631 5402.0632 18511.4462 20000 900000.0 0.00131 B+ "16.67082693  -   18.96595369" "2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 1" "2s2.2p5.(2P*<1/2>).3p  | 2[1/2]  | 0" "" T2733 L3451
5411.62 5411.6823 18478.74 50 "" "" "" "18.72638145  -   21.01742872" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).5d  | 2[3/2]* | 1" "" "" L3469
5414.1537 5414.1528 18470.1074 2500 301000.0 0.0022 C+ "18.72638145  -   21.01638327" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).5d  | 2[3/2]* | 2" "" T6976 L3451
5420.0647 5420.0639 18449.9644 1500 378000.0 0.00166 C "18.72638145  -   21.01388581" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).5d  | 2[1/2]* | 1" "" T6976 L3451
5421.662 5421.6605 18444.53 500 433000.0 0.00064 C "18.72638145  -   21.01321219" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).5d  | 2[1/2]* | 0" "" T6976 L3469
5435.1616 5435.1602 18398.717 2500 283000.0 0.00125 B+ "18.38162323  -   20.66277398" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).5s  | 2[1/2]* | 1" "" T2318 L3451
5448.634 5448.618 18353.22 80 "" "" "" "18.96595369  -   21.24147014" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<1/2>).7s  | 2[1/2]* | 1" "" "" L3469
5450.0234 5450.0228 18348.5452 1500 465000.0 0.00069 B+ "18.38162323  -   20.65655315" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).5s  | 2[1/2]* | 0" "" T2734 L3451
5495.9423 5495.9427 18195.2419 500 "" "" "" "18.69335943  -   20.94928177" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).6s  | 2[3/2]* | 1" "" "" L3451
5508.8742 5508.8715 18152.529 250 "" "" "" "18.69335943  -   20.94398733" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).6s  | 2[3/2]* | 2" "" "" L4498
5512.707 5512.707 18139.91 30 "" "" "" "18.55510805  -   20.80417004" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<1/2>).4d  | 2[3/2]* | 2" "" "" L3469
5513.016 5513.0264 18138.89 150 "" "" "" "18.55510805  -   20.80403974" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<1/2>).4d  | 2[5/2]* | 3" "" "" L3469
5522.16 5522.1634 18108.84 30 "" "" "" "18.70407118  -   20.94928177" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).6s  | 2[3/2]* | 1" "" "" L7441
5535.2158 5535.2161 18066.1429 750 "" "" "" "18.70407118  -   20.94398733" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).6s  | 2[3/2]* | 2" "" "" L3451
5540.1893 5540.1902 18049.9246 500 "" "" "" "18.71137667  -   20.94928177" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<3/2>).6s  | 2[3/2]* | 1" "" "" L3451
5560.6416 5560.6394 17983.536 350 "" "" "" "18.57583601  -   20.80551122" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<1/2>).4d  | 2[3/2]* | 1" "" "" L4498
5563.9863 5563.9862 17972.726 1500 143000.0 0.00067 C "18.57583601  -   20.80417004" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<1/2>).4d  | 2[3/2]* | 2" "" T6976 L4498
5564.311 5564.3116 17971.6771 5000 988000.0 0.00642 C+ "18.57583601  -   20.80403974" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<1/2>).4d  | 2[5/2]* | 3" "" T6976 L3451
5564.598 5564.5982 17970.75 750 102000.0 0.000472 C "18.57583601  -   20.80392497" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<1/2>).4d  | 2[5/2]* | 2" "" T6976 L4498
5577.5877 5577.587 17928.898 350 "" "" "" "18.72638145  -   20.94928177" "2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).6s  | 2[3/2]* | 1" "" "" L4498
