Observed Ritz Transition Rel. Aki fik Acc. "Ei           Ek" "Lower level" "Upper level" Type TP Line
4293.184 4293.2 23292.74 20 "" "" "" "18.63679156  -   21.524712" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).10d | 2[3/2]* | 2" "" "" L3469
4293.184 4293.194 23292.74 20 "" "" "" "18.63679156  -   21.524716" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).10d | 2[5/2]* | 3" "" "" L3469
4293.184 4293.2 23292.74 20 "" "" "" "18.63679156  -   21.524712" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).10d | 2[5/2]* | 2" "" "" L3469
4304.458 4304.464 23231.73 300 "" "" "" "18.38162323  -   21.2619865" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).8s  | 2[3/2]* | 1" "" "" L3469
4304.906 4304.929 23229.31 10 "" "" "" "18.61270528  -   21.492758" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).9d  | 2[3/2]* | 1" "" "" L3469
4305.166 4305.173 23227.91 50 "" "" "" "18.61270528  -   21.492594" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).9d  | 2[5/2]* | 2" "" "" L3469
4307.4621 4307.4631 23215.527 700 "" "" "" "18.38162323  -   21.2599810" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).8s  | 2[3/2]* | 2" "" "" L4498
4311.342 4311.343 23194.63 20 "" "" "" "18.57583601  -   21.451603" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).11d | 2[7/2]* | 3" "" "" L3469
4315.323 4315.328 23173.23 10 "" "" "" "18.55510805  -   21.428220" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).10d | 2[5/2]* | 3" "" "" L3469
4315.908 4315.909 23170.09 300 "" "" "" "18.55510805  -   21.427833" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).10d | 2[7/2]* | 4" "" "" L3469
4317.222 4317.2186 23163.04 150 "" "" "" "18.57583601  -   21.4476896" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<1/2>).8d  | 2[5/2]* | 3" "" "" L3469
4320.049 4320.0151 23147.89 50 "" "" "" "18.57583601  -   21.4458306" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).12s | 2[3/2]* | 1" "" "" L3469
4320.726 4320.72 23144.26 10 "" "" "" "18.57583601  -   21.445362" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).12s | 2[3/2]* | 2" "" "" L3469
4322.707 4322.708 23133.65 20 "" "" "" "18.61270528  -   21.480912" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).10s | 2[1/2]* | 0" "" "" L3469
4328.482 4328.483 23102.79 100 "" "" "" "18.55510805  -   21.419488" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).11s | 2[3/2]* | 2" "" "" L3469
4335.3453 4335.3439 23066.2135 700 "" "" "" "18.38162323  -   21.24147014" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).7s  | 2[1/2]* | 1" "" "" L3451
4337.4459 4337.4442 23055.042 500 "" "" "" "18.38162323  -   21.24008531" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).7s  | 2[1/2]* | 0" "" "" L4498
4339.42 4339.419 23044.56 20 "" "" "" "18.61270528  -   21.469866" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).12d | 2[5/2]* | 2" "" "" L3469
4341.476 4341.473 23033.64 20 "" "" "" "18.63679156  -   21.492601" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).9d  | 2[5/2]* | 3" "" "" L3469
4341.64 4341.639 23032.77 20 "" "" "" "18.57583601  -   21.431537" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<1/2>).9s  | 2[1/2]* | 1" "" "" L3469
4346.701 4346.696 23005.96 20 "" "" "" "18.57583601  -   21.428214" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).10d | 2[5/2]* | 2" "" "" L3469
4346.701 4346.687 23005.96 20 "" "" "" "18.57583601  -   21.428220" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).10d | 2[5/2]* | 3" "" "" L3469
4346.984 4346.97 23004.46 10 "" "" "" "18.61270528  -   21.464903" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).13s | 2[3/2]* | 2" "" "" L3469
4347.258 4347.235 23003.01 150 "" "" "" "18.57583601  -   21.427860" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).10d | 2[7/2]* | 3" "" "" L3469
4358.523 4358.514 22943.55 20 "" "" "" "18.63679156  -   21.481435" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).10s | 2[1/2]* | 1" "" "" L3469
4359.143 4359.126 22940.29 50 "" "" "" "18.57583601  -   21.420080" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).11s | 2[3/2]* | 1" "" "" L3469
4360.041 4360.034 22935.56 20 "" "" "" "18.57583601  -   21.419488" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).11s | 2[3/2]* | 2" "" "" L3469
4363.916 4363.919 22915.2 300 "" "" "" "18.55510805  -   21.396228" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).9d  | 2[5/2]* | 3" "" "" L3469
4364.454 4364.456 22912.37 20 "" "" "" "18.55510805  -   21.395879" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).9d  | 2[3/2]* | 2" "" "" L3469
4364.7503 4364.7503 22910.818 700 "" "" "" "18.55510805  -   21.3956874" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).9d  | 2[7/2]* | 4" "" "" L7292
4366.932 4366.933 22899.37 10 "" "" "" "18.61270528  -   21.451865" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).11d | 2[5/2]* | 2" "" "" L3469
4373.025 4373.038 22867.47 20 "" "" "" "18.61270528  -   21.447901" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).8d  | 2[3/2]* | 1" "" "" L3469
4373.386 4373.3796 22865.58 300 "" "" "" "18.61270528  -   21.4476798" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).8d  | 2[5/2]* | 2" "" "" L3469
4376.226 4376.2342 22850.74 20 "" "" "" "18.61270528  -   21.4458306" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).12s | 2[3/2]* | 1" "" "" L3469
4376.226 4376.255 22850.74 20 "" "" "" "18.63679156  -   21.469903" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).12d | 2[5/2]* | 3" "" "" L3469
4378.984 4378.974 22836.35 20 "" "" "" "18.69335943  -   21.524712" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).10d | 2[5/2]* | 2" "" "" L3469
4378.984 4378.974 22836.35 20 "" "" "" "18.69335943  -   21.524712" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).10d | 2[3/2]* | 2" "" "" L3469
4382.451 4382.4509 22818.281 300 "" "" "" "18.55510805  -   21.3842144" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3" "2s2.2p5.(2P*<3/2>).10s | 2[3/2]* | 2" "" "" L7292
4395.604 4395.604 22750.0 150 "" "" "" "18.70407118  -   21.524712" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).10d | 2[5/2]* | 2" "" "" L3469
4395.604 4395.598 22750.0 150 "" "" "" "18.70407118  -   21.524716" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).10d | 2[5/2]* | 3" "" "" L3469
4395.604 4395.604 22750.0 150 "" "" "" "18.70407118  -   21.524712" "2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).10d | 2[3/2]* | 2" "" "" L3469
4396.008 4396.01 22747.91 150 "" "" "" "18.57583601  -   21.396216" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).9d  | 2[5/2]* | 2" "" "" L3469
4396.243 4396.26 22746.7 10 "" "" "" "18.57583601  -   21.396056" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).9d  | 2[3/2]* | 1" "" "" L3469
4396.541 4396.536 22745.16 10 "" "" "" "18.57583601  -   21.395879" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).9d  | 2[3/2]* | 2" "" "" L3469
4396.7908 4396.7908 22743.861 500 "" "" "" "18.57583601  -   21.3957154" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).9d  | 2[7/2]* | 3" "" "" L7292
4397.204 4397.207 22741.72 10 "" "" "" "18.57583601  -   21.395449" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).9d  | 2[1/2]* | 1" "" "" L3469
4398.41 4398.426 22735.49 10 "" "" "" "18.61270528  -   21.431537" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).9s  | 2[1/2]* | 1" "" "" L3469
4399.371 4399.368 22730.52 50 "" "" "" "18.61270528  -   21.430933" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<1/2>).9s  | 2[1/2]* | 0" "" "" L3469
4403.611 4403.616 22708.64 20 "" "" "" "18.61270528  -   21.428214" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).10d | 2[5/2]* | 2" "" "" L3469
4403.817 4403.791 22707.58 10 "" "" "" "18.61270528  -   21.428102" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).10d | 2[3/2]* | 1" "" "" L3469
4404.222 4404.233 22705.49 10 "" "" "" "18.63679156  -   21.451906" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<3/2>).11d | 2[5/2]* | 3" "" "" L3469
4406.819 4406.808 22692.1 20 "" "" "" "18.71137667  -   21.524846" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 0" "2s2.2p5.(2P*<1/2>).10d | 2[3/2]* | 1" "" "" L3469
4410.858 4410.8394 22671.32 200 "" "" "" "18.63679156  -   21.4476896" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2" "2s2.2p5.(2P*<1/2>).8d  | 2[5/2]* | 3" "" "" L3469
4413.524 4413.527 22657.63 200 "" "" "" "18.57583601  -   21.38502238" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).10s | 2[3/2]* | 1" "" "" L3469
4414.801 4414.7967 22651.08 150 "" "" "" "18.57583601  -   21.3842144" "2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2" "2s2.2p5.(2P*<3/2>).10s | 2[3/2]* | 2" "" "" L3469
4416.381 4416.374 22642.97 50 "" "" "" "18.61270528  -   21.420080" "2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1" "2s2.2p5.(2P*<3/2>).11s | 2[3/2]* | 1" "" "" L3469
