Observed Ritz Transition Rel. Aki fik Acc. "Ei           Ek" "Lower level" "Upper level" Type TP Line
6386.482 6386.482 15658.073 20 421000.0 0.00257 C "12.90701530  -   14.84836899" "3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1" "3s2.3p5.(2P*<3/2>).6s  | 2[3/2]* | 1" "" T1218n L2634
6418.081 6418.08 15580.982 70 1160000.0 0.0119 C "12.90701530  -   14.83881100" "3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1" "3s2.3p5.(2P*<3/2>).6s  | 2[3/2]* | 2" "" T1218n L2634
6539.918 6539.918 15290.711 15 110000.0 0.00071 D+ "13.07571571  -   14.97152236" "3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3" "3s2.3p5.(2P*<1/2>).4d  | 2[5/2]* | 3" "" T1218n L2634
6606.677 6606.677 15136.202 15 13000.0 0.00012 D "13.09487256  -   14.97152236" "3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 2" "3s2.3p5.(2P*<1/2>).4d  | 2[5/2]* | 3" "" T1218n L2634
6662.515 6662.516 15009.347 5 780000.0 0.0017 D "13.15314387  -   15.0140655" "3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 1" "3s2.3p5.(2P*<1/2>).6s  | 2[1/2]* | 0" "" T1218n L2634
6665.891 6665.891 15001.745 5 150000.0 0.001 D+ "13.09487256  -   14.95485204" "3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 2" "3s2.3p5.(2P*<1/2>).4d  | 2[5/2]* | 2" "" T1218n L2634
6679.126 6679.125 14972.02 100 236000.0 0.00053 B "11.62359272  -   13.47988682" "3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 1" "3s2.3p5.(2P*<1/2>).4p  | 2[1/2]  | 0" "" T5223 L2634
6754.698 6754.697 14804.511 150 1930000.0 0.022 C "12.90701530  -   14.74254085" "3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1" "3s2.3p5.(2P*<3/2>).4d  | 2[3/2]* | 2" "" T1218n L2634
6758.028 6758.028 14797.216 5 360000.0 0.0025 D+ "13.30222747  -   15.13684847" "3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 2" "3s2.3p5.(2P*<3/2>).5d  | 2[3/2]* | 2" "" T1218n L2634
6768.48 6768.479 14774.367 15 400000.0 0.0016 D+ "13.17177770  -   15.00356588" "3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 2" "3s2.3p5.(2P*<1/2>).4d  | 2[3/2]* | 1" "" T1218n L2634
6873.185 6873.185 14549.296 150 2780000.0 0.0197 C "12.90701530  -   14.71089810" "3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1" "3s2.3p5.(2P*<3/2>).4d  | 2[1/2]* | 1" "" T1218n L2634
6881.48 6881.481 14531.758 5 180000.0 0.0021 D+ "13.15314387  -   14.95485204" "3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 1" "3s2.3p5.(2P*<1/2>).4d  | 2[5/2]* | 2" "" T1218n L2634
6890.074 6890.075 14513.631 10 250000.0 0.003 D+ "13.15314387  -   14.95260474" "3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 1" "3s2.3p5.(2P*<1/2>).4d  | 2[3/2]* | 2" "" T1218n L2634
6939.578 6939.578 14410.099 50 3080000.0 0.00741 C "12.90701530  -   14.6936397" "3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1" "3s2.3p5.(2P*<3/2>).4d  | 2[1/2]* | 0" "" T1218n L2634
6953.395 6953.395 14381.463 7 220000.0 0.0016 D "13.17177770  -   14.95485204" "3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 2" "3s2.3p5.(2P*<1/2>).4d  | 2[5/2]* | 2" "" T1218n L2634
6962.17 6962.17 14363.338 7 240000.0 0.0017 D "13.17177770  -   14.95260474" "3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 2" "3s2.3p5.(2P*<1/2>).4d  | 2[3/2]* | 2" "" T1218n L2634
6967.352 6967.351 14352.655 10000 6400000.0 0.0279 B+ "11.54835442  -   13.32785705" "3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 2" "3s2.3p5.(2P*<1/2>).4p  | 2[1/2]  | 1" "" T5223 L2634
7032.19 7032.189 14220.322 150 2670000.0 0.0141 C "13.07571571  -   14.83881100" "3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3" "3s2.3p5.(2P*<3/2>).6s  | 2[3/2]* | 2" "" T1218n L2634
7069.167 7069.166 14145.939 10000 3800000.0 0.0285 B "11.54835442  -   13.30222747" "3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 2" "3s2.3p5.(2P*<1/2>).4p  | 2[3/2]  | 2" "" T5223 L2634
7070.685 7070.684 14142.901 100 2000000.0 0.009 D+ "13.09487256  -   14.84836899" "3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 2" "3s2.3p5.(2P*<3/2>).6s  | 2[3/2]* | 1" "" T1218n L2634
7109.437 7109.437 14065.81 25 450000.0 0.0034 D+ "13.09487256  -   14.83881100" "3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 2" "3s2.3p5.(2P*<3/2>).6s  | 2[3/2]* | 2" "" T1218n L2634
7127.784 7127.784 14029.605 25 600000.0 0.0046 D+ "13.28263902  -   15.02208834" "3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 1" "3s2.3p5.(2P*<1/2>).6s  | 2[1/2]* | 1" "" T1218n L2634
7149.012 7149.011 13987.947 1000 630000.0 0.00287 B "11.54835442  -   13.28263902" "3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 2" "3s2.3p5.(2P*<1/2>).4p  | 2[3/2]  | 1" "" T5223 L2634
7160.812 7160.812 13964.896 15 2100000.0 0.0054 D+ "13.28263902  -   15.0140655" "3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 1" "3s2.3p5.(2P*<1/2>).6s  | 2[1/2]* | 0" "" T1218n L2634
7208.966 7208.967 13871.614 70 2480000.0 0.0116 C "13.30222747  -   15.02208834" "3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 2" "3s2.3p5.(2P*<1/2>).6s  | 2[1/2]* | 1" "" T1218n L2634
7267.174 7267.17 13760.507 15 170000.0 0.0013 D "13.15314387  -   14.859230" "3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 1" "3s2.3p5.(2P*<3/2>).4d  | 2[3/2]* | 1" "" T1218n L2634
