Observed Ritz Transition Rel. Aki fik Acc. "Ei           Ek" "Lower level" "Upper level" Type TP Line
4343.419 4343.4275 23023.34 22 "" "" "" "35.01007584  -   37.8646002" "2s2.2p4.(3P).4s    | 4P    | 3/2" "2s2.2p4.(1S).3p    | 2P*   | 3/2" "" "" L1406
4347.461 4347.459 23001.933 160 "" "" "" "37.8854700   -   40.7373472" "2s2.2p4.(1D).3d    | 2P    | 3/2" "2s2.2p4.(1D<2>).4f | 2[1]* | 3/2" "" "" L1406
4350.358 4350.357 22986.62 40 "" "" "" "37.8873702   -   40.737348" "2s2.2p4.(1D).3d    | 2P    | 1/2" "2s2.2p4.(1D<2>).4f | 2[1]* | 1/2" "" "" L1406
4366.972 4366.971 22899.163 160 "" "" "" "34.80245657  -   37.6415915" "2s2.2p4.(3P).3d    | 4F    | 7/2" "2s2.2p4.(3P<1>).4f | 2[3]* | 7/2" "" "" L1406
4371.09 4371.0891 22877.589 240 3500000.0 0.015 D "34.83299812  -   37.6694582" "2s2.2p4.(3P).3d    | 4F    | 3/2" "2s2.2p4.(3P<0>).4f | 2[3]* | 5/2" "" T1115CA,LS L1406
4379.2131 4379.2141 22835.153 180 "" "" "" "34.83826076  -   37.6694582" "2s2.2p4.(3P).3d    | 4P    | 3/2" "2s2.2p4.(3P<0>).4f | 2[3]* | 5/2" "" "" L9088
4380.631 4380.6295 22827.76 140 20000000.0 0.058 D "34.80245657  -   37.6327393" "2s2.2p4.(3P).3d    | 4F    | 7/2" "2s2.2p4.(3P<1>).4f | 2[4]* | 7/2" "" T1115CA,LS L1406
4380.7802 4380.7802 22826.9843 300 220000000.0 0.79 D "34.80245657  -   37.6326419" "2s2.2p4.(3P).3d    | 4F    | 7/2" "2s2.2p4.(3P<1>).4f | 2[4]* | 9/2" "" T1115CA,LS L5951
4385.3397 4385.338 22803.251 180 "" "" "" "34.81442056  -   37.6416644" "2s2.2p4.(3P).3d    | 4F    | 5/2" "2s2.2p4.(3P<1>).4f | 2[3]* | 5/2" "" "" L5951
4385.455 4385.4511 22802.652 80 "" "" "" "34.81442056  -   37.6415915" "2s2.2p4.(3P).3d    | 4F    | 5/2" "2s2.2p4.(3P<1>).4f | 2[3]* | 7/2" "" "" L1406
4386.2962 4386.2959 22798.278 200 200000000.0 0.77 D "34.84277499  -   37.6694014" "2s2.2p4.(3P).3d    | 2F    | 5/2" "2s2.2p4.(3P<0>).4f | 2[3]* | 7/2" "" T1115CA,LS L5951
4393.224 4393.224 22762.3265 400 "" "" "" "34.7370230   -   37.5591918" "2s2.2p4.(3P).3d    | 4F    | 9/2" "2s2.2p4.(3P<2>).4f | 2[5]* | 11/2" "" "" L9088
4397.548 4397.547 22739.945 120 "" "" "" "34.81085841  -   37.6302529" "2s2.2p4.(3P).3d    | 4P    | 1/2" "2s2.2p4.(3P<1>).4f | 2[2]* | 3/2" "" "" L1406
4399.2256 4399.2256 22731.2734 300 "" "" "" "34.81442056  -   37.6327393" "2s2.2p4.(3P).3d    | 4F    | 5/2" "2s2.2p4.(3P<1>).4f | 2[4]* | 7/2" "" "" L5951
4410.53711 4410.5371 22672.9755 300 "" "" "" "34.7480986   -   37.5591893" "2s2.2p4.(3P).3d    | 2F    | 7/2" "2s2.2p4.(3P<2>).4f | 2[5]* | 9/2" "" "" L5951
4411.017 4411.0141 22670.51 40 "" "" "" "34.7370230   -   37.5478097" "2s2.2p4.(3P).3d    | 4F    | 9/2" "2s2.2p4.(3P<2>).4f | 2[3]* | 7/2" "" "" L1406
4413.44 4413.4151 22658.07 80 "" "" "" "34.7370230   -   37.5462806" "2s2.2p4.(3P).3d    | 4F    | 9/2" "2s2.2p4.(3P<2>).4f | 2[4]* | 7/2" "" "" L1406
4413.83 4413.8301 22656.059 180 "" "" "" "34.7370230   -   37.5460164" "2s2.2p4.(3P).3d    | 4F    | 9/2" "2s2.2p4.(3P<2>).4f | 2[4]* | 9/2" "" "" L1406
4414.352 4414.3443 22653.38 160 200000000.0 0.88 D "34.83299812  -   37.6416644" "2s2.2p4.(3P).3d    | 4F    | 3/2" "2s2.2p4.(3P<1>).4f | 2[3]* | 5/2" "" T1115CA,LS L9088
4414.352 4414.3652 22653.38 160 "" "" "" "34.86080527  -   37.6694582" "2s2.2p4.(3P).3d    | 4P    | 5/2" "2s2.2p4.(3P<0>).4f | 2[3]* | 5/2" "" "" L9088
4414.4544 4414.4545 22652.8559 200 "" "" "" "34.86080527  -   37.6694014" "2s2.2p4.(3P).3d    | 4P    | 5/2" "2s2.2p4.(3P<0>).4f | 2[3]* | 7/2" "" "" L5951
4417.9956 4417.9974 22634.699 160 "" "" "" "34.7489205   -   37.5552644" "2s2.2p4.(3P).3d    | 2D    | 5/2" "2s2.2p4.(3P<2>).4f | 2[2]* | 5/2" "" "" L9088
4422.6304 4422.631 22610.978 200 "" "" "" "34.83826076  -   37.6416644" "2s2.2p4.(3P).3d    | 4P    | 3/2" "2s2.2p4.(3P<1>).4f | 2[3]* | 5/2" "" "" L5951
4428.351 4428.3511 22581.77 60 "" "" "" "34.7480986   -   37.5478811" "2s2.2p4.(3P).3d    | 2F    | 7/2" "2s2.2p4.(3P<2>).4f | 2[3]* | 5/2" "" "" L1406
4429.6509 4429.6514 22575.142 160 "" "" "" "34.7489205   -   37.5478811" "2s2.2p4.(3P).3d    | 2D    | 5/2" "2s2.2p4.(3P<2>).4f | 2[3]* | 5/2" "" "" L9088
4429.763 4429.748 22574.57 200 "" "" "" "37.9693434   -   40.7682429" "2s2.2p4.(1D).3d    | 2D    | 5/2" "2s2.2p4.(1D<2>).4f | 2[3]* | 7/2" "" "" L5951
4429.763 4429.7641 22574.57 200 33000000.0 0.097 D "34.84277499  -   37.6416644" "2s2.2p4.(3P).3d    | 2F    | 5/2" "2s2.2p4.(3P<1>).4f | 2[3]* | 5/2" "" T1115CA,LS L5951
4429.763 4429.7645 22574.57 200 "" "" "" "34.7489205   -   37.5478097" "2s2.2p4.(3P).3d    | 2D    | 5/2" "2s2.2p4.(3P<2>).4f | 2[3]* | 7/2" "" "" L5951
4429.8794 4429.8796 22573.978 200 "" "" "" "34.84277499  -   37.6415915" "2s2.2p4.(3P).3d    | 2F    | 5/2" "2s2.2p4.(3P<1>).4f | 2[3]* | 7/2" "" "" L9088
4430.884 4430.884 22568.861 180 "" "" "" "34.7480986   -   37.5462806" "2s2.2p4.(3P).3d    | 2F    | 7/2" "2s2.2p4.(3P<2>).4f | 2[4]* | 7/2" "" "" L1406
4432.1459 4432.1453 22562.434 300 "" "" "" "34.83299812  -   37.6303838" "2s2.2p4.(3P).3d    | 4F    | 3/2" "2s2.2p4.(3P<1>).4f | 2[2]* | 5/2" "" "" L5951
4432.1858 4432.1859 22562.231 300 "" "" "" "34.7489205   -   37.5462806" "2s2.2p4.(3P).3d    | 2D    | 5/2" "2s2.2p4.(3P<2>).4f | 2[4]* | 7/2" "" "" L5951
4432.349 4432.3527 22561.4 12 21000000.0 0.062 D "34.83299812  -   37.6302529" "2s2.2p4.(3P).3d    | 4F    | 3/2" "2s2.2p4.(3P<1>).4f | 2[2]* | 3/2" "" T1115CA,LS L1406
4433.054 4433.054 22557.811 160 "" "" "" "37.9405355   -   40.737348" "2s2.2p4.(1D).3d    | 2S    | 1/2" "2s2.2p4.(1D<2>).4f | 2[1]* | 1/2" "" "" L1406
4433.054 4433.055 22557.811 160 "" "" "" "37.9405355   -   40.7373472" "2s2.2p4.(1D).3d    | 2S    | 1/2" "2s2.2p4.(1D<2>).4f | 2[1]* | 3/2" "" "" L1406
4433.547 4433.549 22555.302 160 "" "" "" "37.9717422   -   40.7682421" "2s2.2p4.(1D).3d    | 2D    | 3/2" "2s2.2p4.(1D<2>).4f | 2[3]* | 5/2" "" "" L1406
4438.225 4438.2234 22531.53 100 "" "" "" "36.00153059  -   38.7950853" "2s2.2p4.(3P).4p    | 4P*   | 5/2" "2s2.2p4.(3P).6s    | 4P    | 5/2" "" "" L1406
4440.4988 4440.4991 22519.993 180 "" "" "" "34.83826076  -   37.6303838" "2s2.2p4.(3P).3d    | 4P    | 3/2" "2s2.2p4.(3P<1>).4f | 2[2]* | 5/2" "" "" L5951
4440.7073 4440.7073 22518.935 180 "" "" "" "34.83826076  -   37.6302529" "2s2.2p4.(3P).3d    | 4P    | 3/2" "2s2.2p4.(3P<1>).4f | 2[2]* | 3/2" "" "" L5951
4441.2379 4441.2369 22516.245 180 "" "" "" "34.77428890  -   37.5659481" "2s2.2p4.(3P).3d    | 2D    | 3/2" "2s2.2p4.(3P<2>).4f | 2[1]* | 3/2" "" "" L5951
4442.051 4442.0506 22512.125 80 "" "" "" "31.51244241  -   34.3035902" "2s2.2p4.(3P).3p    | 2P*   | 3/2" "2s2.2p4.(1S).3s    | 2S    | 1/2" "" "" L1406
4443.9337 4443.935 22502.586 180 3500000.0 0.014 D "34.84277499  -   37.6327393" "2s2.2p4.(3P).3d    | 2F    | 5/2" "2s2.2p4.(3P<1>).4f | 2[4]* | 7/2" "" T1115CA,LS L5951
4447.688 4447.69 22483.592 180 "" "" "" "34.84277499  -   37.6303838" "2s2.2p4.(3P).3d    | 2F    | 5/2" "2s2.2p4.(3P<1>).4f | 2[2]* | 5/2" "" "" L9088
4453.857 4453.856 22452.451 140 "" "" "" "37.9693434   -   40.7530932" "2s2.2p4.(1D).3d    | 2D    | 5/2" "2s2.2p4.(1D<2>).4f | 2[2]* | 5/2" "" "" L1406
4457.696 4457.693 22433.114 80 "" "" "" "37.9717422   -   40.7530955" "2s2.2p4.(1D).3d    | 2D    | 3/2" "2s2.2p4.(1D<2>).4f | 2[2]* | 3/2" "" "" L1406
4458.2983 4458.2989 22430.083 240 "" "" "" "34.77428890  -   37.5552644" "2s2.2p4.(3P).3d    | 2D    | 3/2" "2s2.2p4.(3P<2>).4f | 2[2]* | 5/2" "" "" L9088
4458.493 4458.4854 22429.1 100 "" "" "" "34.86080527  -   37.6416644" "2s2.2p4.(3P).3d    | 4P    | 5/2" "2s2.2p4.(3P<1>).4f | 2[3]* | 5/2" "" "" L1406
4458.493 4458.5131 22429.1 100 "" "" "" "34.77428890  -   37.5551307" "2s2.2p4.(3P).3d    | 2D    | 3/2" "2s2.2p4.(3P<2>).4f | 2[2]* | 3/2" "" "" L1406
4458.6018 4458.6023 22428.556 160 "" "" "" "34.86080527  -   37.6415915" "2s2.2p4.(3P).3d    | 4P    | 5/2" "2s2.2p4.(3P<1>).4f | 2[3]* | 7/2" "" "" L9088
4467.29 4467.288 22384.93 40 "" "" "" "31.52821065  -   34.3035902" "2s2.2p4.(3P).3p    | 2P*   | 1/2" "2s2.2p4.(1S).3s    | 2S    | 1/2" "" "" L1406
