Observed Ritz Transition Rel. Aki fik Acc. "Ei           Ek" "Lower level" "Upper level" Type TP Line
5966.683 5966.6928 16759.73 3 "" "" "" "21.62407061   -   23.702008951" "3s2.3p4.(1D).3d    | 2P    | 3/2" "3s2.3p4.(3P).5p    | 4S*   | 3/2" "" "" L14821
5974.969 5974.9727 16736.49 2 "" "" "" "19.549011775  -   21.62407061" "3s2.3p4.(3P).4p    | 4D*   | 5/2" "3s2.3p4.(1D).3d    | 2P    | 3/2" "" "" L14821
5977.6176 5977.6083 16729.0729 5 "" "" "" "24.17649235   -   26.25063624" "3s2.3p4.(3P<2>).4f | 2[2]* | 3/2" "3s2.3p4.(3P<1>).6g | 2[3]  | 5/2" "" "" L2634
5979.651 5979.6572 16723.38 4 "" "" "" "22.26659804   -   24.34003126" "3s2.3p4.(1S).3d    | 2D    | 5/2" "3s2.3p4.(3P<1>).4f | 2[3]* | 5/2" "" "" L14821
5986.112 5986.111 16705.33 3 "" "" "" "21.36689104   -   23.438088809" "3s2.3p4.(1D).3d    | 2D    | 5/2" "3s2.3p4.(3P).5p    | 4P*   | 3/2" "" "" L14821
5987.57 5987.5718 16701.26 1 "" "" "" "22.30870487   -   24.37939735" "3s2.3p4.(1S).3d    | 2D    | 3/2" "3s2.3p4.(3P<0>).4f | 2[3]* | 5/2" "" "" L11520
5989.947 5989.9661 16694.64 3p?* "" "" "" "23.87401512   -   25.94387988" "3s2.3p4.(3P).4d    | 2D    | 5/2" "3s2.3p4.(1D<2>).4f | 2[3]* | 5/2" "" "" L14821
5989.947 5989.974 16694.64 3p?* "" "" "" "24.18078735   -   26.25064940" "3s2.3p4.(3P<2>).4f | 2[2]* | 5/2" "3s2.3p4.(3P<1>).6g | 2[3]  | 7/2" "" "" L14821
5990.998 5990.9966 16691.71 8 "" "" "" "23.87401512   -   25.94352386" "3s2.3p4.(3P).4d    | 2D    | 5/2" "3s2.3p4.(1D<2>).4f | 2[3]* | 7/2" "" "" L14821
5993.12 5993.10862 16685.8 0.5 "" "" "" "23.162238164  -   25.231017595" "3s2.3p4.(3P).4d    | 2F    | 7/2" "3s2.3p4.(3P).6p    | 2D*   | 5/2" "" "" L14821
6004.833 6004.8484 16653.25 1 "" "" "" "19.61030789   -   21.67504277" "3s2.3p4.(3P).4p    | 4D*   | 3/2" "3s2.3p4.(1D).3d    | 2P    | 1/2" "" "" L14821
6021.16 6021.1635 16608.1 4 "" "" "" "21.42814610   -   23.48728630" "3s2.3p4.(1D).3d    | 2D    | 3/2" "3s2.3p4.(3P).5p    | 4P*   | 1/2" "" "" L14821
6028.9204 6028.9208 16586.7176 7 "" "" "" "21.492402391  -   23.54889313" "3s2.3p4.(1D).4p    | 2D*   | 3/2" "3s2.3p4.(3P).4d    | 2P    | 1/2" "" "" L2634
6029.889 6029.90209 16584.05 1 "" "" "" "23.620386781  -   25.67654286" "3s2.3p4.(3P).5p    | 2D*   | 5/2" "3s2.3p4.(3P).7s    | 4P    | 5/2" "" "" L14821
6032.514 6032.4979 16576.84 1l "" "" "" "23.702008951  -   25.75728027" "3s2.3p4.(3P).5p    | 4S*   | 3/2" "3s2.3p4.(3P).6d    | 4D    | 5/2" "" "" L14821
6046.142 6046.1521 16539.47 7 "" "" "" "23.89325004   -   25.94387988" "3s2.3p4.(3P).4d    | 2D    | 3/2" "3s2.3p4.(1D<2>).4f | 2[3]* | 5/2" "" "" L14821
6048.5721 6048.5711 16532.8277 10 "" "" "" "21.62407061   -   23.67388033" "3s2.3p4.(1D).3d    | 2P    | 3/2" "3s2.3p4.(3P).5p    | 2S*   | 1/2" "" "" L2634
6050.75 6050.7498 16526.877 7 "" "" "" "22.26659804   -   24.31566967" "3s2.3p4.(1S).3d    | 2D    | 5/2" "3s2.3p4.(3P<1>).4f | 2[4]* | 7/2" "" "" L2634
6051.69 6051.64907 16524.32 0.5h?* "" "" "" "23.258113744  -   25.30688090" "3s2.3p4.(3P).4d    | 2F    | 5/2" "3s2.3p4.(1D).5p    | 2D*   | 3/2" "" "" L14821
6051.69 6051.68298 16524.32 0.5h* "" "" "" "23.01454553   -   25.063301207" "3s2.3p4.(3P).4d    | 4F    | 7/2" "3s2.3p4.(3P).6p    | 4P*   | 5/2" "" "" L14821
6071.64 6071.6574 16470.01 0 "" "" "" "23.070289982  -   25.11230570" "3s2.3p4.(3P).4d    | 4F    | 5/2" "3s2.3p4.(3P).6p    | 4D*   | 5/2" "" "" L14821
6079.114 6079.11287 16449.77 6 400000.0 0.0022 C "17.265833524  -   19.30534490" "3s2.3p4.(3P).4s    | 2P    | 1/2" "3s2.3p4.(3P).4p    | 4P*   | 1/2" "" T926 L14821
6085.559 6085.5613 16432.34 2 "" "" "" "23.84631466   -   25.88366492" "3s2.3p4.(1S).4p    | 2P*   | 1/2" "3s2.3p4.(3P).7s    | 2P    | 1/2" "" "" L14821
6086.191 6086.1997 16430.64 2 "" "" "" "21.36689104   -   23.404027598" "3s2.3p4.(1D).3d    | 2D    | 5/2" "3s2.3p4.(3P).5p    | 4P*   | 5/2" "" "" L14821
6103.6083 6103.6079 16383.7512 4 "" "" "" "22.30870487   -   24.34003126" "3s2.3p4.(1S).3d    | 2D    | 3/2" "3s2.3p4.(3P<1>).4f | 2[3]* | 5/2" "" "" L2634
6104.454 6104.43908 16381.48 1 "" "" "" "23.162238164  -   25.193287976" "3s2.3p4.(3P).4d    | 2F    | 7/2" "3s2.3p4.(1D).5p    | 2F*   | 7/2" "" "" L14821
6105.2293 6105.2287 16379.4013 26 1700000.0 0.0095 C "17.94175110   -   19.972538226" "3s2.3p4.(3P).3d    | 2P    | 1/2" "3s2.3p4.(3P).4p    | 2S*   | 1/2" "" T926 L11520
6110.01 6110.017 16366.58 0? "" "" "" "23.87401512   -   25.90321077" "3s2.3p4.(3P).4d    | 2D    | 5/2" "3s2.3p4.(1D<2>).4f | 2[2]* | 3/2" "" "" L14821
6110.84 6110.8459 16364.36 2p "" "" "" "23.87401512   -   25.90293551" "3s2.3p4.(3P).4d    | 2D    | 5/2" "3s2.3p4.(1D<2>).4f | 2[2]* | 5/2" "" "" L14821
6113.434 6113.435 16357.42 2 "" "" "" "23.87401512   -   25.9020761" "3s2.3p4.(3P).4d    | 2D    | 5/2" "3s2.3p4.(3P<2>).7p | 2[2]* | 5/2" "" "" L14821
6116.61581 6116.6158 16348.9099 537 20000000.0 0.0897 B+ "19.11606897   -   21.143075448" "3s2.3p4.(1D).3d    | 2G    | 9/2" "3s2.3p4.(1D).4p    | 2F*   | 7/2" "" T1386n L11520
6120.418 6120.41576 16338.75 4 100000.0 0.0011 E "17.94175110   -   19.96749907" "3s2.3p4.(3P).3d    | 2P    | 1/2" "3s2.3p4.(3P).4p    | 4S*   | 3/2" "" T926 L14821
6121.7876 6121.78784 16335.0979 6 "" "" "" "17.77579262   -   19.801086565" "3s2.3p4.(3P).3d    | 4F    | 3/2" "3s2.3p4.(3P).4p    | 2P*   | 1/2" "" "" L2634
6125.0558 6125.0565 16326.3819 20 900000.0 0.0051 C+ "19.11886231   -   21.143075448" "3s2.3p4.(1D).3d    | 2G    | 7/2" "3s2.3p4.(1D).4p    | 2F*   | 7/2" "" T926 L11520
6126.266 6126.2783 16323.16 3 "" "" "" "21.62407061   -   23.64788005" "3s2.3p4.(1D).3d    | 2P    | 3/2" "3s2.3p4.(3P).5p    | 4D*   | 1/2" "" "" L14821
6136.53 6136.53591 16295.86 0h? "" "" "" "23.08230349   -   25.102730005" "3s2.3p4.(3P).4d    | 4P    | 1/2" "3s2.3p4.(3P).6p    | 4D*   | 3/2" "" "" L14821
6140.3541 6140.35442 16285.7057 28 1200000.0 0.0045 B "17.74309101   -   19.762261075" "3s2.3p4.(3P).3d    | 4F    | 5/2" "3s2.3p4.(3P).4p    | 2D*   | 3/2" "" T926 L11520
6144.315 6144.31101 16275.21 2 "" "" "" "23.80181442   -   25.81968425" "3s2.3p4.(1S).4p    | 2P*   | 3/2" "3s2.3p4.(3P).7s    | 2P    | 3/2" "" "" L14821
6148.16 6148.18517 16265.03 0 "" "" "" "23.682522355  -   25.69912067" "3s2.3p4.(3P).5p    | 2D*   | 3/2" "3s2.3p4.(3P).7s    | 4P    | 3/2" "" "" L14821
6168.49 6168.4886 16211.423 4 "" "" "" "23.89325004   -   25.90321077" "3s2.3p4.(3P).4d    | 2D    | 3/2" "3s2.3p4.(1D<2>).4f | 2[2]* | 3/2" "" "" L2634
6169.334 6169.3335 16209.205 4 "" "" "" "23.89325004   -   25.90293551" "3s2.3p4.(3P).4d    | 2D    | 3/2" "3s2.3p4.(1D<2>).4f | 2[2]* | 5/2" "" "" L2634
6173.98549 6173.9855 16196.993 407 20000000.0 0.0857 A "19.11886231   -   21.127033505" "3s2.3p4.(1D).3d    | 2G    | 7/2" "3s2.3p4.(1D).4p    | 2F*   | 5/2" "" T926 L11520
6176.087 6176.1125 16191.48 3 "" "" "" "21.67504277   -   23.682522355" "3s2.3p4.(1D).3d    | 2P    | 1/2" "3s2.3p4.(3P).5p    | 2D*   | 3/2" "" "" L14821
6184.735 6184.7345 16168.84 2 "" "" "" "23.54889313   -   25.55357413" "3s2.3p4.(3P).4d    | 2P    | 1/2" "3s2.3p4.(3P<1>).5f | 2[2]* | 3/2" "" "" L14821
6188.847 6188.8468 16158.099 9 "" "" "" "22.30870487   -   24.31205385" "3s2.3p4.(1S).3d    | 2D    | 3/2" "3s2.3p4.(3P<1>).4f | 2[2]* | 5/2" "" "" L2634
6194.014 6194.0092 16144.62 2 "" "" "" "22.30870487   -   24.31038415" "3s2.3p4.(1S).3d    | 2D    | 3/2" "3s2.3p4.(3P<1>).4f | 2[2]* | 3/2" "" "" L14821
6202.8159 6202.8151 16121.71 9 "" "" "" "21.67504277   -   23.67388033" "3s2.3p4.(1D).3d    | 2P    | 1/2" "3s2.3p4.(3P).5p    | 2S*   | 1/2" "" "" L2634
6208.18 6208.17541 16107.78 1 "" "" "" "23.702008951  -   25.69912067" "3s2.3p4.(3P).5p    | 4S*   | 3/2" "3s2.3p4.(3P).7s    | 4P    | 3/2" "" "" L14821
6210.653 6210.6494 16101.37 2 "" "" "" "21.62407061   -   23.620386781" "3s2.3p4.(1D).3d    | 2P    | 3/2" "3s2.3p4.(3P).5p    | 2D*   | 5/2" "" "" L14821
6212.138 6212.1366 16097.52 1 "" "" "" "21.62407061   -   23.619908872" "3s2.3p4.(1D).3d    | 2P    | 3/2" "3s2.3p4.(3P).5p    | 2P*   | 3/2" "" "" L14821
6234.616 6234.613 16039.48 2 "" "" "" "23.63042494   -   25.61906799" "3s2.3p4.(3P).4d    | 2P    | 3/2" "3s2.3p4.(3P<0>).5f | 2[3]* | 5/2" "" "" L14821
6236.29 6236.2476 16035.16 1p "" "" "" "23.87401512   -   25.86213691" "3s2.3p4.(3P).4d    | 2D    | 5/2" "3s2.3p4.(1D<2>).4f | 2[1]* | 3/2" "" "" L14821
6241.4381 6241.43807 16021.949 8 200000.0 0.0012 D "17.77579262   -   19.762261075" "3s2.3p4.(3P).3d    | 4F    | 3/2" "3s2.3p4.(3P).4p    | 2D*   | 3/2" "" T926 L2634
6244.84691 6244.84683 16013.2029 89 3000000.0 0.013 B "17.69466481   -   19.680048951" "3s2.3p4.(3P).3d    | 4F    | 7/2" "3s2.3p4.(3P).4p    | 2D*   | 5/2" "" T926 L11520
6251.704 6251.7147 15995.64 1 "" "" "" "23.84631466   -   25.82951773" "3s2.3p4.(1S).4p    | 2P*   | 1/2" "3s2.3p4.(3P).7s    | 4P    | 1/2" "" "" L14821
6274.89 6274.8803 15936.55 0h "" "" "" "21.42814610   -   23.404027598" "3s2.3p4.(1D).3d    | 2D    | 3/2" "3s2.3p4.(3P).5p    | 4P*   | 5/2" "" "" L14821
6279.161 6279.16279 15925.69 2 "" "" "" "23.702008951  -   25.67654286" "3s2.3p4.(3P).5p    | 4S*   | 3/2" "3s2.3p4.(3P).7s    | 4P    | 5/2" "" "" L14821
6282.86 6282.86757 15916.33 0 "" "" "" "23.84631466   -   25.81968425" "3s2.3p4.(1S).4p    | 2P*   | 1/2" "3s2.3p4.(3P).7s    | 2P    | 3/2" "" "" L14821
6284.561 6284.5628 15912.01 1 "" "" "" "21.67504277   -   23.64788005" "3s2.3p4.(1D).3d    | 2P    | 1/2" "3s2.3p4.(3P).5p    | 4D*   | 1/2" "" "" L14821
6296.24 6296.2372 15882.49 0.5 "" "" "" "24.34003126   -   26.30921053" "3s2.3p4.(3P<1>).4f | 2[3]* | 5/2" "3s2.3p4.(3P<0>).6g | 2[4]  | 7/2" "" "" L14821
6297.187 6297.1723 15880.11 2 "" "" "" "23.89325004   -   25.86213691" "3s2.3p4.(3P).4d    | 2D    | 3/2" "3s2.3p4.(1D<2>).4f | 2[1]* | 3/2" "" "" L14821
6317.15 6317.1534 15829.93 1 "" "" "" "24.15215486   -   26.1148142" "3s2.3p4.(3P<2>).4f | 2[4]* | 9/2" "3s2.3p4.(3P<2>).6g | 2[3]  | 7/2" "" "" L14821
6325.484 6325.4661 15809.07 3 "" "" "" "24.15215486   -   26.1122349" "3s2.3p4.(3P<2>).4f | 2[4]* | 9/2" "3s2.3p4.(3P<2>).6g | 2[4]  | 9/2" "" "" L14821
6325.91 6325.9119 15808.01 1p* "" "" "" "24.15487223   -   26.1148142" "3s2.3p4.(3P<2>).4f | 2[4]* | 7/2" "3s2.3p4.(3P<2>).6g | 2[3]  | 7/2" "" "" L14821
6325.91 6325.9375 15808.01 1p* "" "" "" "24.15487223   -   26.11480622" "3s2.3p4.(3P<2>).4f | 2[4]* | 7/2" "3s2.3p4.(3P<2>).6g | 2[3]  | 5/2" "" "" L14821
6326.1639 6326.1664 15807.368 12 "" "" "" "24.15215486   -   26.11201792" "3s2.3p4.(3P<2>).4f | 2[4]* | 9/2" "3s2.3p4.(3P<2>).6g | 2[5]  | 11/2" "" "" L11520
6327.866 6327.866 15803.115 2* "" "" "" "25.88831364   -   27.8476503" "3s2.3p4.(1D<2>).4f | 2[5]* | 11/2" "3s2.3p4.(1D<2>).6g | 2[6]  | 13/2" "" "" L14821
6327.866 6327.866 15803.115 2* "" "" "" "25.88831410   -   27.8476507" "3s2.3p4.(1D<2>).4f | 2[5]* | 9/2" "3s2.3p4.(1D<2>).6g | 2[6]  | 11/2" "" "" L14821
6330.224 6330.2161 15797.229 1 "" "" "" "24.15972864   -   26.1183379" "3s2.3p4.(3P<2>).4f | 2[3]* | 5/2" "3s2.3p4.(3P<2>).6g | 2[2]  | 3/2" "" "" L14821
6334.25 6334.2476 15787.189 5 "" "" "" "24.15487223   -   26.1122349" "3s2.3p4.(3P<2>).4f | 2[4]* | 7/2" "3s2.3p4.(3P<2>).6g | 2[4]  | 9/2" "" "" L14821
6334.583 6334.6006 15786.359 1 "" "" "" "21.62407061   -   23.58132422" "3s2.3p4.(1D).3d    | 2P    | 3/2" "3s2.3p4.(3P).5p    | 2P*   | 1/2" "" "" L14821
6334.898 6334.898 15785.573 6 "" "" "" "24.15487223   -   26.11203395" "3s2.3p4.(3P<2>).4f | 2[4]* | 7/2" "3s2.3p4.(3P<2>).6g | 2[5]  | 9/2" "" "" L11520
6338.88 6338.8864 15775.65 0 "" "" "" "24.16242396   -   26.11835425" "3s2.3p4.(3P<2>).4f | 2[3]* | 7/2" "3s2.3p4.(3P<2>).6g | 2[2]  | 5/2" "" "" L14821
6341.65 6341.6511 15768.767 3 "" "" "" "24.15972864   -   26.11480622" "3s2.3p4.(3P<2>).4f | 2[3]* | 5/2" "3s2.3p4.(3P<2>).6g | 2[3]  | 5/2" "" "" L14821
6349.9824 6349.9833 15748.075 7 "" "" "" "24.15972864   -   26.11224084" "3s2.3p4.(3P<2>).4f | 2[3]* | 5/2" "3s2.3p4.(3P<2>).6g | 2[4]  | 7/2" "" "" L11520
6350.356 6350.3801 15747.148 2 "" "" "" "24.16242396   -   26.1148142" "3s2.3p4.(3P<2>).4f | 2[3]* | 7/2" "3s2.3p4.(3P<2>).6g | 2[3]  | 7/2" "" "" L14821
6358.783 6358.7805 15726.281 7 "" "" "" "24.16242396   -   26.1122349" "3s2.3p4.(3P<2>).4f | 2[3]* | 7/2" "3s2.3p4.(3P<2>).6g | 2[4]  | 9/2" "" "" L11520
6359.4354 6359.436 15724.6665 8 "" "" "" "24.16242396   -   26.11203395" "3s2.3p4.(3P<2>).4f | 2[3]* | 7/2" "3s2.3p4.(3P<2>).6g | 2[5]  | 9/2" "" "" L2634
6367.2 6367.2144 15705.491 1 "" "" "" "22.26659804   -   24.21382629" "3s2.3p4.(1S).3d    | 2D    | 5/2" "3s2.3p4.(3P<2>).4f | 2[1]* | 3/2" "" "" L14821
6370.889 6370.8842 15696.397 2 "" "" "" "21.62407061   -   23.570177223" "3s2.3p4.(1D).3d    | 2P    | 3/2" "3s2.3p4.(3P).5p    | 4D*   | 3/2" "" "" L14821
6374.95 6374.9478 15686.39 0 "" "" "" "21.67504277   -   23.619908872" "3s2.3p4.(1D).3d    | 2P    | 1/2" "3s2.3p4.(3P).5p    | 2P*   | 3/2" "" "" L14821
6377.708 6377.7169 15679.615 3 "" "" "" "19.680048951  -   21.62407061" "3s2.3p4.(3P).4p    | 2D*   | 5/2" "3s2.3p4.(1D).3d    | 2P    | 3/2" "" "" L14821
6384.46 6384.4576 15663.031 3 "" "" "" "23.63042494   -   25.57239413" "3s2.3p4.(3P).4d    | 2P    | 3/2" "3s2.3p4.(3P<1>).5f | 2[3]* | 5/2" "" "" L14821
6384.8613 6384.864 15662.0474 5 "" "" "" "24.17649235   -   26.1183379" "3s2.3p4.(3P<2>).4f | 2[2]* | 3/2" "3s2.3p4.(3P<2>).6g | 2[2]  | 3/2" "" "" L2634
6390.107 6390.1077 15649.191 5 "" "" "" "24.31038415   -   26.25063624" "3s2.3p4.(3P<1>).4f | 2[2]* | 3/2" "3s2.3p4.(3P<1>).6g | 2[3]  | 5/2" "" "" L11520
6392.884 6392.894 15642.393 2 "" "" "" "24.31566967   -   26.25507612" "3s2.3p4.(3P<1>).4f | 2[4]* | 7/2" "3s2.3p4.(3P<1>).6g | 2[4]  | 7/2" "" "" L14821
6395.569 6395.5681 15635.824 7bl "" "" "" "24.31205385   -   26.25064940" "3s2.3p4.(3P<1>).4f | 2[2]* | 5/2" "3s2.3p4.(3P<1>).6g | 2[3]  | 7/2" "" "" L11520
6396.497 6396.4975 15633.557 7 "" "" "" "24.17649235   -   26.11480622" "3s2.3p4.(3P<2>).4f | 2[2]* | 3/2" "3s2.3p4.(3P<2>).6g | 2[3]  | 5/2" "" "" L11520
6398.3766 6398.3794 15628.964 11 "" "" "" "24.313723219  -   26.25146700" "3s2.3p4.(3P<1>).4f | 2[4]* | 9/2" "3s2.3p4.(3P<1>).6g | 2[5]  | 11/2" "" "" L11520
6398.952 6398.9635 15627.558 2 "" "" "" "24.18078735   -   26.11835425" "3s2.3p4.(3P<2>).4f | 2[2]* | 5/2" "3s2.3p4.(3P<2>).6g | 2[2]  | 5/2" "" "" L14821
6400.9774 6400.97524 15622.614 18 600000.0 0.0037 C "17.74309101   -   19.680048951" "3s2.3p4.(3P).3d    | 4F    | 5/2" "3s2.3p4.(3P).4p    | 2D*   | 5/2" "" T926 L11520
6404.7822 6404.7836 15613.333 11 "" "" "" "24.31566967   -   26.25147586" "3s2.3p4.(3P<1>).4f | 2[4]* | 7/2" "3s2.3p4.(3P<1>).6g | 2[5]  | 9/2" "" "" L11520
6410.681 6410.6763 15598.969 7 "" "" "" "24.18078735   -   26.1148142" "3s2.3p4.(3P<2>).4f | 2[2]* | 5/2" "3s2.3p4.(3P<2>).6g | 2[3]  | 7/2" "" "" L11520
6419.191 6419.2174 15578.288 1 "" "" "" "24.18078735   -   26.11224084" "3s2.3p4.(3P<2>).4f | 2[2]* | 5/2" "3s2.3p4.(3P<2>).6g | 2[4]  | 7/2" "" "" L14821
6420.1437 6420.1466 15575.975 10 "" "" "" "24.37801682   -   26.30919076" "3s2.3p4.(3P<0>).4f | 2[3]* | 7/2" "3s2.3p4.(3P<0>).6g | 2[4]  | 9/2" "" "" L11520
6424.669 6424.6736 15565.003 7 "" "" "" "24.37939735   -   26.30921053" "3s2.3p4.(3P<0>).4f | 2[3]* | 5/2" "3s2.3p4.(3P<0>).6g | 2[4]  | 7/2" "" "" L11520
6425.92 6425.94048 15561.975 1 "" "" "" "23.258113744  -   25.18754647" "3s2.3p4.(3P).4d    | 2F    | 5/2" "3s2.3p4.(1D).5p    | 2F*   | 5/2" "" "" L14821
6433.334 6433.33662 15544.041 6 "" "" "" "21.143075448  -   23.070289982" "3s2.3p4.(1D).4p    | 2F*   | 7/2" "3s2.3p4.(3P).4d    | 4F    | 5/2" "" "" L11520
6435.461 6435.47854 15538.902 1 "" "" "" "23.17153570   -   25.098108804" "3s2.3p4.(3P).4d    | 4P    | 5/2" "3s2.3p4.(3P).6p    | 4D*   | 7/2" "" "" L14821
6439.3805 6439.37966 15529.444 11 200000.0 0.0025 E "17.94175110   -   19.867157038" "3s2.3p4.(3P).3d    | 2P    | 1/2" "3s2.3p4.(3P).4p    | 2P*   | 3/2" "" T926 L11520
6443.6785 6443.6806 15519.086 12 "" "" "" "24.19224889   -   26.11636970" "3s2.3p4.(3P<2>).4f | 2[5]* | 11/2" "3s2.3p4.(3P<2>).6g | 2[6]  | 11/2" "" "" L11520
6445.64 6445.6439 15514.363 12 "" "" "" "24.19283498   -   26.11636970" "3s2.3p4.(3P<2>).4f | 2[5]* | 9/2" "3s2.3p4.(3P<2>).6g | 2[6]  | 11/2" "" "" L11520
6458.273 6458.2873 15484.015 3 "" "" "" "24.19224889   -   26.11201792" "3s2.3p4.(3P<2>).4f | 2[5]* | 11/2" "3s2.3p4.(3P<2>).6g | 2[5]  | 11/2" "" "" L14821
6459.49 6459.5092 15481.09 0* "" "" "" "24.19283498   -   26.11224084" "3s2.3p4.(3P<2>).4f | 2[5]* | 9/2" "3s2.3p4.(3P<2>).6g | 2[4]  | 7/2" "" "" L14821
6459.49 6459.5292 15481.09 0* "" "" "" "24.19283498   -   26.1122349" "3s2.3p4.(3P<2>).4f | 2[5]* | 9/2" "3s2.3p4.(3P<2>).6g | 2[4]  | 9/2" "" "" L14821
6460.188 6460.2056 15479.426 2 "" "" "" "24.19283498   -   26.11203395" "3s2.3p4.(3P<2>).4f | 2[5]* | 9/2" "3s2.3p4.(3P<2>).6g | 2[5]  | 9/2" "" "" L14821
6469.834 6469.8369 15456.346 8 "" "" "" "24.33873405   -   26.25507599" "3s2.3p4.(3P<1>).4f | 2[3]* | 7/2" "3s2.3p4.(3P<1>).6g | 2[4]  | 9/2" "" "" L11520
6474.217 6474.219 15445.885 6 "" "" "" "24.34003126   -   26.25507612" "3s2.3p4.(3P<1>).4f | 2[3]* | 5/2" "3s2.3p4.(3P<1>).6g | 2[4]  | 7/2" "" "" L11520
6477.101 6477.1127 15439.005 4 "" "" "" "22.26659804   -   24.18078735" "3s2.3p4.(1S).3d    | 2D    | 5/2" "3s2.3p4.(3P<2>).4f | 2[2]* | 5/2" "" "" L14821
6481.876 6481.8792 15427.633 2 "" "" "" "19.762261075  -   21.67504277" "3s2.3p4.(3P).4p    | 2D*   | 3/2" "3s2.3p4.(1D).3d    | 2P    | 1/2" "" "" L14821
6484.87395 6484.87399 15420.5002 120 10600000.0 0.0334 C+ "18.06063988   -   19.972538226" "3s2.3p4.(3P).3d    | 2P    | 3/2" "3s2.3p4.(3P).4p    | 2S*   | 1/2" "" T926 L11520
6489.237 6489.2192 15410.133 1* "" "" "" "24.34003126   -   26.25064940" "3s2.3p4.(3P<1>).4f | 2[3]* | 5/2" "3s2.3p4.(3P<1>).6g | 2[3]  | 7/2" "" "" L14821
6489.237 6489.2639 15410.133 1* "" "" "" "24.34003126   -   26.25063624" "3s2.3p4.(3P<1>).4f | 2[3]* | 5/2" "3s2.3p4.(3P<1>).6g | 2[3]  | 5/2" "" "" L14821
6491.64 6491.6785 15404.42 0 "" "" "" "22.26659804   -   24.17649235" "3s2.3p4.(1S).3d    | 2D    | 5/2" "3s2.3p4.(3P<2>).4f | 2[2]* | 3/2" "" "" L14821
6502.0112 6502.01121 15379.8567 5 300000.0 0.0019 C+ "18.06063988   -   19.96749907" "3s2.3p4.(3P).3d    | 2P    | 3/2" "3s2.3p4.(3P).4p    | 4S*   | 3/2" "" T926 L2634
6503.1572 6503.155 15377.1464 6 "" "" "" "24.21181411   -   26.1183379" "3s2.3p4.(3P<2>).4f | 2[1]* | 1/2" "3s2.3p4.(3P<2>).6g | 2[2]  | 3/2" "" "" L2634
6503.954 6503.9818 15375.263 3 "" "" "" "21.67504277   -   23.58132422" "3s2.3p4.(1D).3d    | 2P    | 1/2" "3s2.3p4.(3P).5p    | 2P*   | 1/2" "" "" L14821
6507.936 6507.9421 15365.856 3 "" "" "" "22.30870487   -   24.21382629" "3s2.3p4.(1S).3d    | 2D    | 3/2" "3s2.3p4.(3P<2>).4f | 2[1]* | 3/2" "" "" L14821
6509.972 6509.97 15361.048 6 "" "" "" "24.21382629   -   26.11835425" "3s2.3p4.(3P<2>).4f | 2[1]* | 3/2" "3s2.3p4.(3P<2>).6g | 2[2]  | 5/2" "" "" L11520
6510.887 6510.89858 15358.889 6 10000.0 9.5e-05 D "17.77579262   -   19.680048951" "3s2.3p4.(3P).3d    | 4F    | 3/2" "3s2.3p4.(3P).4p    | 2D*   | 5/2" "" T926 L14821
6534.732 6534.74886 15302.847 2 "" "" "" "23.80181442   -   25.69912067" "3s2.3p4.(1S).4p    | 2P*   | 3/2" "3s2.3p4.(3P).7s    | 4P    | 3/2" "" "" L14821
6539.8513 6539.8514 15290.8674 20 "" "" "" "22.26659804   -   24.16242396" "3s2.3p4.(1S).3d    | 2D    | 5/2" "3s2.3p4.(3P<2>).4f | 2[3]* | 7/2" "" "" L11520
6542.216 6542.2376 15285.341 2 "" "" "" "21.67504277   -   23.570177223" "3s2.3p4.(1D).3d    | 2P    | 1/2" "3s2.3p4.(3P).5p    | 4D*   | 3/2" "" "" L14821
6549.159 6549.1624 15269.137 3 "" "" "" "22.26659804   -   24.15972864" "3s2.3p4.(1S).3d    | 2D    | 5/2" "3s2.3p4.(3P<2>).4f | 2[3]* | 5/2" "" "" L14821
6553.308 6553.3094 15259.469 3 "" "" "" "23.54889313   -   25.44082574" "3s2.3p4.(3P).4d    | 2P    | 1/2" "3s2.3p4.(3P<2>).5f | 2[1]* | 3/2" "" "" L14821
6559.536 6559.5462 15244.982 2 "" "" "" "21.62407061   -   23.514204395" "3s2.3p4.(1D).3d    | 2P    | 3/2" "3s2.3p4.(3P).5p    | 4D*   | 5/2" "" "" L14821
6565.983 6566.0061 15230.011 3p "" "" "" "22.26659804   -   24.15487223" "3s2.3p4.(1S).3d    | 2D    | 5/2" "3s2.3p4.(3P<2>).4f | 2[4]* | 7/2" "" "" L14821
6610.09 6610.0977 15128.4 1bl? "" "" "" "24.37939735   -   26.25507612" "3s2.3p4.(3P<0>).4f | 2[3]* | 5/2" "3s2.3p4.(3P<1>).6g | 2[4]  | 7/2" "" "" L14821
6613.022 6613.0224 15121.68 2 "" "" "" "23.54889313   -   25.42374234" "3s2.3p4.(3P).4d    | 2P    | 1/2" "3s2.3p4.(3P<2>).5f | 2[2]* | 3/2" "" "" L14821
6616.176 6616.1737 15114.471 6 "" "" "" "19.801086565  -   21.67504277" "3s2.3p4.(3P).4p    | 2P*   | 1/2" "3s2.3p4.(1D).3d    | 2P    | 1/2" "" "" L11520
6622.794 6622.7957 15099.37 8 "" "" "" "22.30870487   -   24.18078735" "3s2.3p4.(1S).3d    | 2D    | 3/2" "3s2.3p4.(3P<2>).4f | 2[2]* | 5/2" "" "" L11520
