obs_wl_air(A)	unc_obs_wl	intens	Aki(s^-1)	fik	Acc	Type
6738.0320	0.0050	700	1.25e+06	2.55e-02	C+	
6759.5821	0.0050	150	1.60e+05	1.83e-03	B+	
6929.4672	0.0004	100000	1.74e+07	2.09e-01	B+	
7024.0500	0.0004	34000	1.89e+06	1.40e-02	B+	
7032.4128	0.0004	85000	2.66e+07	1.18e-01	B+	
7051.2922	0.0008	2200	2.38e+06	1.77e-02	C+	
7059.1079	0.0004	10000	7.46e+06	9.29e-02	B+	
7064.762	0.003	80	3.40e+04	4.24e-04	C	
7112.3075	0.0008	110	6.28e+05	1.43e-02	C+	
7138.5400	0.0011	55	2.20e+05	5.04e-03	C+	
7173.9380	0.0004	77000	2.87e+06	3.69e-02	B+	
7245.1665	0.0004	77000	1.01e+07	7.95e-02	B+	
7304.8422	0.0008	89	2.55e+05	6.12e-03	B+	
7438.8981	0.0004	60000	2.47e+06	6.15e-02	B+	
7472.4383	0.0004	3100	2.96e+06	2.48e-02	C+	
7488.8712	0.0004	32000	2.31e+07	3.24e-01	B+	
7535.7739	0.0004	28000	3.06e+07	2.60e-01	B+	
7544.0439	0.0004	13000	3.87e+07	1.10e-01	B	
7621.33	0.02	50				
